LABEL,TEXT
0,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
0,What's up? Do you want me to come online? If you are free we can talk sometime�
0,So u workin overtime nigpun?
0,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
1,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD
1,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate
0,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
0,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
0,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...
0,Wat r u doing now?
0,Buy one egg for me da..please:)
0,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
0,Stop the story. I've told him i've returned it and he's saying i should not re order it.
0,No. I dont want to hear anything
0,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo 0 jeetey hai.........."
0,I'm e person who's doing e sms survey...
0,Mm i had my food da from out
0,"4 tacos + 1 rajas burrito, right?"
0,"House-Maid is the murderer, coz the man was murdered on  26th January.. "
0,Yes! How is a pretty lady like you single?
0,(That said can you text him one more time?)
0,I know she called me
0,In sch but neva mind u eat 1st lor..
2,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
0,Jay says that you're a double-faggot
0,Ok i thk i got it. Then u wan me 2 come now or wat?
1,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233
2,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
0,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...
0,Whens your radio show?
0,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
2,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780"
0,What * u wearing?
0,o turns out i had stereo love on mi phone under the unknown album.
0,"Ela kano.,il download, come wen ur free.."
0,"Haha figures, well I found the piece and priscilla's bowl"
0,Can you do online transaction?
0,Ü neva tell me how i noe... I'm not at home in da aft wat...
1,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
2,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
0,What you doing?how are you?
0,I didn't get the second half of that message
1,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
0,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
0,Ok lor�whats up�
0,Hello madam how are you ?
0,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
0,Good. do you think you could send me some pix? I would love to see your top and bottom...
1,Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc
0,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
0,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
0,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
0,Ok..let me knw
0,You are a very very very very bad girl. Or lady.
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
0,K then 2marrow are you coming to class.
0,Kallis wont bat in 2nd innings.
0,Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�
2,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays
0,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
0,Every day i use to sleep after  &lt;#&gt;  so only.
0,"Sorry, have urgent work.."
0,Good Morning plz call me sir..I have an urgent work..
0,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
0,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
0,Its hard to believe things like this. All can say lie but think twice before saying anything to me.
0,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
2,"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
0,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...
0,You need to get up. Now.
1,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
0,Howz pain?hope u r fine..
0,Love it! The girls at the office may wonder why you are smiling but sore...
1,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
0,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;
0,how's things? Just a quick question.
0,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
0,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
0,Sorry i missed your call. Can you please call back.
0,How are you. Its been ages. How's abj
0,As if i wasn't having enough trouble sleeping.
0,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
0,Thnx dude. u guys out 2nite?
2,"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3"
0,So are you guys asking that i get that slippers again or its gone with last year
0,U guys never invite me anywhere :(
2,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com
0,My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
